"Screenlight Premiere Pro Marker Export 1.0",,,,
"Name:","Time:","Duration:","Marker Color:","Comment:"
"Broadcaster",61.0,0,#718637,""
"Broadcaster",97.0,0,#718637,""
"Broadcaster",133.0,0,#718637,""
"Broadcaster",200.0,0,#718637,""
"Broadcaster",277.0,0,#718637,""
"Broadcaster",468.0,0,#718637,""
"Broadcaster",572.0,0,#718637,""
"Broadcaster",712.0,0,#718637,""
"Broadcaster",797.0,0,#718637,""
"Broadcaster",935.0,0,#718637,""
"Broadcaster",991.0,0,#718637,""
"Broadcaster",1089.0,0,#718637,""
"Broadcaster",1226.0,0,#718637,""
"Broadcaster",1591.0,0,#718637,""
"Broadcaster",1814.0,0,#718637,""
"Broadcaster",1918.0,0,#718637,""
"Broadcaster",1949.0,0,#718637,""
"Broadcaster",2118.0,0,#718637,""
"Broadcaster",2148.0,0,#718637,""
"Broadcaster",2279.0,0,#718637,""
"Broadcaster",2359.0,0,#718637,""
"Broadcaster",2399.0,0,#718637,""
"Broadcaster",2502.0,0,#718637,""
"Broadcaster",2579.0,0,#718637,""
"Broadcaster",2631.0,0,#718637,""
"Broadcaster",2692.0,0,#718637,""
"Broadcaster",2778.0,0,#718637,""
"Broadcaster",2808.0,0,#718637,""
"Broadcaster",2833.0,0,#718637,""
"Broadcaster",2864.0,0,#718637,""
"Broadcaster",2879.0,0,#718637,""
"Broadcaster",2959.0,0,#718637,""
"Broadcaster",3003.0,0,#718637,""
"Broadcaster",3105.0,0,#718637,""
"Broadcaster",3231.0,0,#718637,""
"Broadcaster",3334.0,0,#718637,""
"Broadcaster",3413.0,0,#718637,""
"Broadcaster",3529.0,0,#718637,""
"Broadcaster",3559.0,0,#718637,""
"Broadcaster",3595.0,0,#718637,""
"Broadcaster",3685.0,0,#718637,""
"Broadcaster",3921.0,0,#718637,""
"Broadcaster",4088.0,0,#718637,""
"Broadcaster",4114.0,0,#718637,""
"Broadcaster",4203.0,0,#718637,""
"Broadcaster",4221.0,0,#718637,""
"Broadcaster",4238.0,0,#718637,""
"Broadcaster",4265.0,0,#718637,""
"Broadcaster",4275.0,0,#718637,""
"Broadcaster",4334.0,0,#718637,""
"Broadcaster",4354.0,0,#718637,""
"Broadcaster",4379.0,0,#718637,""
"Broadcaster",4484.0,0,#718637,""
"Broadcaster",4666.0,0,#718637,""
"Broadcaster",4677.0,0,#718637,""
"Broadcaster",4826.0,0,#718637,""
"Broadcaster",5095.0,0,#718637,""
"Broadcaster",5134.0,0,#718637,""
"Broadcaster",5535.0,0,#718637,""
"Broadcaster",5891.0,0,#718637,""
"Broadcaster",6068.0,0,#718637,""
"Broadcaster",6433.0,0,#718637,""
"Broadcaster",6826.0,0,#718637,""
"Broadcaster",6906.0,0,#718637,""
"Broadcaster",7141.0,0,#718637,""
"Broadcaster",7190.0,0,#718637,""
"Broadcaster",7299.0,0,#718637,""
"Broadcaster",7462.0,0,#718637,""
"Broadcaster",7733.0,0,#718637,""
"Broadcaster",7808.0,0,#718637,""
"Broadcaster",7855.0,0,#718637,""
"Broadcaster",7983.0,0,#718637,""
"Broadcaster",8134.0,0,#718637,""
"Broadcaster",8321.0,0,#718637,""
"Broadcaster",8431.0,0,#718637,""
"Broadcaster",8533.0,0,#718637,""
"Broadcaster",8697.0,0,#718637,""
"Broadcaster",8744.0,0,#718637,""
"Broadcaster",8857.0,0,#718637,""
"Broadcaster",8870.0,0,#718637,""
"Broadcaster",8953.0,0,#718637,""
"Broadcaster",9225.0,0,#718637,""
"Broadcaster",9521.0,0,#718637,""
"Broadcaster",9532.0,0,#718637,""
"Broadcaster",10009.0,0,#718637,""
"Broadcaster",10197.0,0,#718637,""
"Broadcaster",10280.0,0,#718637,""
"Broadcaster",10295.0,0,#718637,""
"Broadcaster",10364.0,0,#718637,""
"Broadcaster",10501.0,0,#718637,""
"Broadcaster",10704.0,0,#718637,""
"Broadcaster",10749.0,0,#718637,""
"Broadcaster",10760.0,0,#718637,""
"Broadcaster",10801.0,0,#718637,""
"Broadcaster",10819.0,0,#718637,""
"Broadcaster",10841.0,0,#718637,""
"Broadcaster",10966.0,0,#718637,""
"Broadcaster",11006.0,0,#718637,""
"Broadcaster",11103.0,0,#718637,""
"Broadcaster",11162.0,0,#718637,""
"Broadcaster",11399.0,0,#718637,""
"Broadcaster",11641.0,0,#718637,""
"Broadcaster",11749.0,0,#718637,""
"Broadcaster",11884.0,0,#718637,""
"Broadcaster",12057.0,0,#718637,""
"Broadcaster",12085.0,0,#718637,""
"Broadcaster",12251.0,0,#718637,""
"Broadcaster",12313.0,0,#718637,""
"Broadcaster",12349.0,0,#718637,""
"Broadcaster",12478.0,0,#718637,""
"Broadcaster",12518.0,0,#718637,""
"Broadcaster",12597.0,0,#718637,""
"Broadcaster",12617.0,0,#718637,""
"Broadcaster",12667.0,0,#718637,""
"Broadcaster",12698.0,0,#718637,""
"Broadcaster",12867.0,0,#718637,""
"Broadcaster",12928.0,0,#718637,""
"Broadcaster",12945.0,0,#718637,""
"Broadcaster",12996.0,0,#718637,""
"Broadcaster",13092.0,0,#718637,""
"Broadcaster",13268.0,0,#718637,""
"Broadcaster",13275.0,0,#718637,""
"Broadcaster",13441.0,0,#718637,""
"Broadcaster",13550.0,0,#718637,""
"Broadcaster",13610.0,0,#718637,""
"Broadcaster",13781.0,0,#718637,""
"Broadcaster",13822.0,0,#718637,""
"Broadcaster",13846.0,0,#718637,""
"Broadcaster",13863.0,0,#718637,""
"Broadcaster",13894.0,0,#718637,""
"Broadcaster",13932.0,0,#718637,""
"Broadcaster",13962.0,0,#718637,""
"Broadcaster",14068.0,0,#718637,""
"Broadcaster",14128.0,0,#718637,""
"Broadcaster",14146.0,0,#718637,""
"Broadcaster",14229.0,0,#718637,""
"Broadcaster",14394.0,0,#718637,""
"Broadcaster",14639.0,0,#718637,""
"Broadcaster",14652.0,0,#718637,""
"Broadcaster",14718.0,0,#718637,""
"Broadcaster",14770.0,0,#718637,""
"Broadcaster",14792.0,0,#718637,""
"Broadcaster",14859.0,0,#718637,""
"Broadcaster",14925.0,0,#718637,""
"Broadcaster",14941.0,0,#718637,""
"Broadcaster",15005.0,0,#718637,""
"Broadcaster",15014.0,0,#718637,""
"Broadcaster",15049.0,0,#718637,""
"Broadcaster",15103.0,0,#718637,""
"Broadcaster",15156.0,0,#718637,""
"Broadcaster",15214.0,0,#718637,""
"Broadcaster",15348.0,0,#718637,""
"Broadcaster",15369.0,0,#718637,""
"Broadcaster",15484.0,0,#718637,""
"Broadcaster",15545.0,0,#718637,""
"Broadcaster",15698.0,0,#718637,""
"Broadcaster",16101.0,0,#718637,""
"Broadcaster",16197.0,0,#718637,""
"Broadcaster",16264.0,0,#718637,""
"Broadcaster",16348.0,0,#718637,""
"Broadcaster",16568.0,0,#718637,""
"Broadcaster",16855.0,0,#718637,""
"Broadcaster",17125.0,0,#718637,""
"Broadcaster",17217.0,0,#718637,""
"Broadcaster",17279.0,0,#718637,""
"Broadcaster",17293.0,0,#718637,""
"Broadcaster",17308.0,0,#718637,""
"Broadcaster",17337.0,0,#718637,""
"Broadcaster",17351.0,0,#718637,""
"Broadcaster",17361.0,0,#718637,""
"Broadcaster",17412.0,0,#718637,""
"Broadcaster",17427.0,0,#718637,""
"Broadcaster",17527.0,0,#718637,""
"Broadcaster",17584.0,0,#718637,""
"Broadcaster",18079.0,0,#718637,""
"Broadcaster",18119.0,0,#718637,""
"Broadcaster",18267.0,0,#718637,""
"Broadcaster",18407.0,0,#718637,""
